,product_image,product_ram,product_condition,product_cost,product_name,product_storage,product_color,original_cost
214,https://rukminim1.flixcart.com/image/612/612/jyxaw7k0/mobile/h/h/p/honor-9-lite-lld-al10-original-imaf6mfykp5j5afp.jpeg?q=70,6 GB RAM,Refurbished - Okay,₹ 10999.00,Honor 9 Lite,32 GB,Midnight Black,22420
215,https://rukminim1.flixcart.com/image/612/612/k0lbdzk0pkrrdj/mobile/7/y/z/samsung-galaxy-a50-sm-a505fzbgins-original-imaffqu82byzvgdg.jpeg?q=70,3 GB RAM,Refurbished - Good,₹ 18999.00,SAMSUNG Galaxy A50,64 GB,Blue,21757
216,https://rukminim1.flixcart.com/image/612/612/k5lcvbk0pkrrdj/mobile-refurbished/g/s/b/redmi-y3-64-d-na-mi-4-original-imafgwbk9b3gxqrc.jpeg?q=70,2 GB RAM,Refurbished - Good,₹ 6999.00,Redmi Y3,32 GB,Bold Red,10000
217,https://rukminim1.flixcart.com/image/612/612/k2jbyq80pkrrdj/mobile-refurbished/h/n/p/c2-32-b-rmx1941-realme-2-original-imaffnumygt8wgfx.jpeg?q=70,4 GB RAM,Refurbished - Good,₹ 5489.00,realme C2,32 GB,Diamond Blue,7790
218,https://rukminim1.flixcart.com/image/612/612/jo8xg280/mobile-refurbished/a/9/w/f3-plus-64-b-cph1613-oppo-4-original-imaezgfyyts6fjre.jpeg?q=70,4 GB RAM,Refurbished - Good,₹ 6999.00,OPPO F3 Plus,64 GB,Black,37440
219,https://rukminim1.flixcart.com/image/612/612/jjq18y80/mobile-refurbished/8/s/g/v5-32-c-1601-vivo-4-original-imaf6mhzecc5qtce.jpeg?q=70,3 GB RAM,Refurbished - Good,₹ 6399.00,ViVO V5,32 GB,Space Grey,22232
221,https://rukminim1.flixcart.com/image/612/612/kddf6a80pkrrdj/mobile-refurbished/k/k/q/a57-32-c-cph1701-oppo-3-original-imafuevk7tpb5fxa.jpeg?q=70,3 GB RAM,Refurbished - Good,₹ 5399.00,OPPO A57,32 GB,Black,15600
222,https://rukminim1.flixcart.com/image/612/612/jjolt3k0/mobile-refurbished/7/w/r/galaxy-on8-16-u-j710fzkgins-samsung-3-original-imaf6mh5htpd63d7.jpeg?q=70,3 GB RAM,Refurbished - Okay,₹ 4499.00,SAMSUNG Galaxy On8,16 GB,Black,17000
225,https://rukminim1.flixcart.com/image/612/612/jnrs5u80/mobile/8/e/u/motorola-moto-e5-plus-xt1924-3-original-imaf9f33txbqraqx.jpeg?q=70,3 GB RAM,Refurbished - Good,₹ 6499.00,Moto E5 Plus,32 GB,Black,15640
227,https://rukminim1.flixcart.com/image/612/612/jjolt3k0/mobile-refurbished/n/9/g/redmi-5a-32-u-mci3b-mi-3-original-imaf6mgq2yxmn5fn.jpeg?q=70,2 GB RAM,Refurbished - Good,₹ 4899.00,Redmi 5A,32 GB,Gold,9900
229,https://rukminim1.flixcart.com/image/612/612/jjolt3k0/mobile-refurbished/h/g/z/f3-64-u-cph1609-oppo-4-original-imaf6mdyp8feksxh.jpeg?q=70,3 GB RAM,Refurbished - Superb,₹ 9299.00,OPPO F3,64 GB,Gold,20280
230,https://rukminim1.flixcart.com/image/612/612/jjq18y80/mobile-refurbished/y/e/h/a71-16-c-cph1717-oppo-3-original-imaf6meyrgfqa6wk.jpeg?q=70,3 GB RAM,Refurbished - Okay,₹ 4799.00,OPPO A71,16 GB,Black,14040
231,https://rukminim1.flixcart.com/image/612/612/k1pbpu80pkrrdj/mobile/8/4/e/mi-redmi-note-4-mzb5540in-mzb5298in-original-imaf6mhr3bdmzmhb.jpeg?q=70,1 GB RAM,Refurbished - Okay,₹ 7165.00,Redmi Note 4,32 GB,Gold,14850
233,https://rukminim1.flixcart.com/image/612/612/jjq18y80/mobile-refurbished/g/g/h/iphone-6s-16-u-apple-iphone-6s-16gb-apple-2-original-imaf6mdzspfhznx8.jpeg?q=70,2 GB RAM,Refurbished - Superb,₹ 12199.00,APPLE iPhone 6s,16 GB,Silver,23460
234,https://rukminim1.flixcart.com/image/612/612/k65d18w0pkrrdj/mobile-refurbished/p/6/z/redmi-note-7-pro-64-d-mzb8005in-mi-4-original-imafj36gfh9gfr7g.jpeg?q=70,2 GB RAM,Refurbished - Superb,₹ 12299.00,Redmi Note 7 Pro,64 GB,Astro Moonlight White,14990
235,https://rukminim1.flixcart.com/image/612/612/jyxaw7k0/mobile/b/c/c/mi-redmi-6a-redmi-6a-m1804c3ci-original-imafem26fdbhgza3.jpeg?q=70,3 GB RAM,Refurbished - Good,₹ 4699.00,Redmi 6A,32 GB,Black,10890
236,https://rukminim1.flixcart.com/image/612/612/k6tniq80/mobile/y/z/q/mi-redmi-8a-dual-m2001c3k3i-original-imafp767fsgk9gdv.jpeg?q=70,6 GB RAM,Refurbished - Superb,₹ 6399.00,Redmi 8A Dual,32 GB,Sea Blue,8561
237,https://rukminim1.flixcart.com/image/612/612/jyxaw7k0/mobile/h/3/7/motorola-moto-g5-xt1677-original-imaf6meyhtn3ruzd.jpeg?q=70,4 GB RAM,Refurbished - Okay,₹ 3299.00,Moto G5,16 GB,Lunar Grey,13800
238,https://rukminim1.flixcart.com/image/612/612/jjrgosw0/mobile-refurbished/y/k/t/8-pro-128-a-duke-l09-duk-l09-honor-6-original-imaf79qytj7smguf.jpeg?q=70,,Refurbished - Good,₹ 8499.00,Honor 8 Pro,128 GB,Navy Blue,36580
239,https://rukminim1.flixcart.com/image/612/612/jjolt3k0/mobile-refurbished/h/g/z/f3-64-u-cph1609-oppo-4-original-imaf6mdyp8feksxh.jpeg?q=70,,Refurbished - Okay,₹ 6799.00,OPPO F3,64 GB,Gold,20280
240,https://rukminim1.flixcart.com/image/612/612/jjq18y80/mobile-refurbished/v/m/r/redmi-note-3-16-u-mzb4663in-mzb4664in-mzb4665in-mzb5481in-original-imaf6juw6amg2uty.jpeg?q=70,2 GB RAM,Refurbished - Good,₹ 4698.00,Redmi Note 3,16 GB,Gold,15840
241,https://rukminim1.flixcart.com/image/612/612/jjolt3k0/mobile-refurbished/c/r/v/moto-g5-plus-32-u-xt-1686-motorola-4-original-imaf6nh7uctkkkyz.jpeg?q=70,4 GB RAM,Refurbished - Okay,₹ 4499.00,Moto G5 Plus,32 GB,Fine Gold,22080
242,https://rukminim1.flixcart.com/image/612/612/k1pbpu80pkrrdj/mobile/8/g/h/mi-redmi-5a-mci3b-original-imaf6mgnhdhwc9bh.jpeg?q=70,2 GB RAM,Refurbished - Good,₹ 4199.00,Redmi 5A,16 GB,Rose Gold,9900
